player_name,woba,xwoba,wOBA_minus_xwOBA,outlier,OPS,Bat Speed,Ideal Attack Angle%,LA Sweet Spot%,Barrel%,Whiff%,Swing%
"Ohtani, Shohei",,,-0.013,False,0.939,74.7,52.3,39.1,16.5,28.5,44.0
"Machado, Manny",,,-0.017,False,0.701,74.7,55.4,31.5,10.9,26.9,47.8
"Bellinger, Cody",,,-0.016,False,0.754,69.5,62.1,39.1,6.8,20.1,45.3
"Marte, Noelvi",,,0.008,False,0.648,72.7,54.5,20.7,7.1,25.5,49.4
"Albies, Ozzie",,,0.037,False,0.769,69.1,58.3,34.3,4.2,20.3,55.6
"Vargas, Ildemaro",,,-0.009,False,0.696,70.8,52.9,30.2,3.7,14.1,49.6
"Bregman, Alex",,,-0.009,False,0.678,69.9,66.0,32.1,4.3,16.3,40.4
"Holliday, Jackson",,,-0.018,False,0.71,70.5,56.4,43.8,11.3,31.4,43.0
"Keaschall, Luke",,,0.016,False,0.694,69.4,51.2,36.0,3.2,16.8,41.6
"Stewart, Sal",,,0.0,False,0.814,72.6,56.0,34.3,14.8,27.5,47.0
"Tatis Jr., Fernando",,,-0.027,False,0.727,75.8,54.0,31.1,11.0,28.5,47.7
"Díaz, Yandy",,,0.027,False,0.903,73.8,30.0,29.2,6.8,14.9,46.0
"Dunn, Blake",,,0.042,False,0.722,71.9,38.9,34.5,2.9,23.3,46.8
"Wells, Austin",,,-0.055,False,0.488,72.7,49.7,32.6,6.2,30.5,48.1
"House, Brady",,,-0.021,False,0.681,73.5,47.4,28.9,10.6,33.0,52.2
"Paredes, Isaac",,,0.022,False,0.765,67.6,52.9,37.9,6.1,16.7,44.1
"Del Castillo, Adrian",,,-0.014,False,0.555,72.3,47.5,33.7,6.8,29.0,47.8
"Goodman, Hunter",,,0.033,False,0.861,75.3,63.9,33.6,16.7,34.7,54.7
"Emerson, Colt",,,0.061,False,0.686,72.5,55.3,35.6,5.7,35.2,49.8
"Pasquantino, Vinnie",,,-0.024,False,0.659,70.2,59.8,37.2,7.3,15.8,45.0
"Arozarena, Randy",,,0.016,False,0.835,71.0,59.0,38.2,8.0,27.6,47.1
"Millas, Drew",,,-0.013,False,0.542,68.1,41.2,34.7,3.2,23.2,44.9
"France, Ty",,,0.029,False,0.779,72.0,47.0,35.4,10.5,29.3,53.7
"Benge, Carson",,,-0.025,False,0.744,71.1,41.4,40.5,8.0,20.9,44.9
"Taveras, Leody",,,0.013,False,0.669,72.8,41.5,31.0,4.4,25.3,47.0
"Judge, Aaron",,,-0.03,False,0.908,76.1,51.2,33.6,21.7,32.2,42.9
"O'Neill, Tyler",,,-0.025,False,0.654,72.1,54.9,36.6,9.9,31.3,45.6
"Susac, Daniel",,,-0.001,False,0.64,68.9,48.0,40.0,5.0,25.3,55.2
"Piñango, Yohendrick",,,0.004,False,0.726,75.7,29.2,33.6,7.1,25.8,51.7
"Happ, Ian",,,0.012,False,0.759,72.1,46.2,33.0,12.7,32.2,44.6
"Sullivan, Brett",,,0.011,False,0.642,67.7,60.8,32.3,3.0,18.6,51.8
"Frelick, Sal",,,-0.003,False,0.632,68.4,48.9,28.1,2.1,10.8,42.6
"Straw, Myles",,,-0.015,False,0.624,68.8,53.5,29.3,3.3,12.1,38.8
"Caratini, Victor",,,-0.026,False,0.698,70.9,55.8,40.3,8.0,21.9,41.2
"Lopez, Otto",,,0.043,False,0.9,72.1,48.6,31.7,7.2,20.2,47.2
"Edwards, Xavier",,,0.028,False,0.814,68.5,47.5,38.3,4.7,14.7,42.0
"Norby, Connor",,,0.011,False,0.638,70.5,37.6,29.8,7.6,32.7,49.4
"Conforto, Michael",,,0.016,False,0.834,72.6,51.1,39.4,12.8,29.8,43.2
"Fortes, Nick",,,0.017,False,0.643,72.3,39.7,21.2,1.7,14.9,51.9
"DeLuca, Jonny",,,0.033,False,0.735,73.9,59.1,32.0,3.9,27.7,51.9
"Heim, Jonah",,,0.034,False,0.784,70.2,55.8,30.1,7.3,23.5,48.9
"Thomas, Lane",,,-0.003,False,0.732,72.3,60.5,39.0,6.7,20.6,40.9
"Hoskins, Rhys",,,0.018,False,0.691,71.8,54.0,33.8,11.3,32.2,40.9
"Bohm, Alec",,,-0.016,False,0.647,70.6,46.8,33.7,5.0,16.8,45.4
"Lewis, Royce",,,0.0,False,0.679,74.4,73.3,32.7,12.4,34.7,46.9
"Massey, Michael",,,0.006,False,0.729,72.0,59.0,33.5,7.1,20.4,51.4
"Romo, Drew",,,-0.011,False,0.557,69.9,49.2,23.7,7.9,28.2,48.9
"Springer, George",,,0.003,False,0.693,72.7,55.1,31.8,7.8,23.6,47.9
"Andujar, Miguel",,,0.015,False,0.722,71.1,58.7,27.8,4.3,18.8,54.8
"Merrill, Jackson",,,-0.028,False,0.624,73.5,46.7,37.1,9.4,27.2,55.3
"Marsee, Jakob",,,-0.017,False,0.62,70.5,48.3,29.0,3.4,19.2,39.9
"Arraez, Luis",,,0.046,False,0.823,63.3,54.2,39.8,0.6,8.1,49.8
"Goldschmidt, Paul",,,0.032,False,0.802,71.4,50.6,33.7,11.6,25.7,48.5
"Anthony, Roman",,,-0.042,False,0.675,75.6,46.6,40.8,9.3,28.1,37.2
